Lieu de prêt,Emplacement,"Nb prêt
02/01/17","Nb prêt
03/01/17","Nb prêt
04/01/17","Nb prêt
05/01/17","Nb prêt
06/01/17","Nb prêt
07/01/17","Nb prêt
09/01/17","Nb prêt
10/01/17","Nb prêt
11/01/17","Nb prêt
12/01/17","Nb prêt
13/01/17","Nb prêt
14/01/17","Nb prêt
16/01/17","Nb prêt
17/01/17","Nb prêt
18/01/17","Nb prêt
19/01/17","Nb prêt
20/01/17","Nb prêt
21/01/17","Nb prêt
23/01/17","Nb prêt
24/01/17","Nb prêt
25/01/17","Nb prêt
26/01/17","Nb prêt
27/01/17","Nb prêt
28/01/17","Nb prêt
30/01/17","Nb prêt
31/01/17"
                         ,HISTOIRE,1,0,0,0,0,0,0,3,4,0,0,0,1,1,6,0,0,0,4,3,0,0,1,0,0,0
                         ,INFORMATIQUE,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
                         ,JEUX D'ASSEMBLAGE,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'EXERCICES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES,0,0,0,0,2,0,0,4,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX SYMBOLIQUES,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0
                         ,JEUX VIDEO,1,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LANGUES,2,5,1,0,1,0,2,5,1,0,0,0,0,2,2,0,2,0,3,0,2,0,5,0,0,1
                         ,LITTERATURE,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,FONDS LOCAL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS,2,2,10,0,2,0,0,0,3,0,2,0,0,1,6,0,4,0,0,0,2,0,4,0,1,1
                         ,MUSIQUE ADULTES,36,12,38,0,9,0,6,12,16,0,5,0,6,3,10,0,5,0,5,6,17,1,2,0,4,2
                         ,MUSIQUE JEUNESSE,3,4,9,0,5,0,2,1,8,2,0,0,1,1,10,1,0,0,2,4,9,0,3,0,4,6
                         ,PHILOSOPHIE,2,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,2,0,0,0
                         ,PRESSE,22,7,49,0,27,0,6,8,27,0,6,0,18,16,27,0,20,0,9,27,31,0,21,0,13,4
                         ,PSYCHOLOGIE,2,3,3,0,0,0,5,0,5,0,1,0,0,2,3,0,0,0,1,2,2,0,0,0,2,2
                         ,RELIGIONS,0,1,4,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES,21,16,46,0,16,0,33,20,49,0,23,0,23,17,50,0,21,0,37,19,19,0,26,0,21,26
                         ,ROMANS JEUNESSE,13,28,69,1,10,0,17,22,78,2,19,0,13,30,76,1,13,0,9,52,91,0,21,0,35,13
                         ,SCIENCES,14,11,5,0,5,0,0,2,10,1,0,0,2,3,11,0,6,0,1,3,5,0,12,0,4,12
                         ,SOCIETE,4,4,7,0,2,0,4,1,9,0,7,0,0,0,9,0,4,0,3,0,9,0,12,0,6,0
                         ,SPORTS ET LOISIRS,1,6,1,0,0,0,1,1,2,1,0,0,0,3,9,0,2,0,0,0,1,0,2,0,4,2
                         ,VIE PRATIQUE,9,4,19,0,9,0,6,3,8,0,1,0,4,10,7,0,4,0,5,6,9,0,5,0,2,3
                         ,THEATRE,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
Ludothèque Municipale,TOTAL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,CINEMA JEUNESSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gao Xingjian - Sillon,TOTAL,0,226,408,129,239,467,10,213,457,138,250,327,7,180,349,152,168,404,5,234,406,147,156,450,2,203
                         ,ALBUMS,0,43,130,41,47,110,5,50,147,30,89,32,3,43,70,33,2,65,1,10,115,21,51,122,0,20
