Lieu de prêt,Emplacement,"Nb prêt
01/03/17","Nb prêt
02/03/17","Nb prêt
03/03/17","Nb prêt
04/03/17","Nb prêt
06/03/17","Nb prêt
07/03/17","Nb prêt
08/03/17","Nb prêt
09/03/17","Nb prêt
10/03/17","Nb prêt
11/03/17","Nb prêt
13/03/17","Nb prêt
14/03/17","Nb prêt
15/03/17","Nb prêt
16/03/17","Nb prêt
17/03/17","Nb prêt
18/03/17","Nb prêt
20/03/17","Nb prêt
21/03/17","Nb prêt
22/03/17","Nb prêt
23/03/17","Nb prêt
24/03/17","Nb prêt
25/03/17","Nb prêt
27/03/17","Nb prêt
28/03/17","Nb prêt
29/03/17","Nb prêt
30/03/17","Nb prêt
31/03/17"
                         ,HISTOIRE,4,2,5,0,1,0,2,0,4,0,3,0,7,0,1,0,8,1,3,0,1,0,0,4,6,0,4
                         ,INFORMATIQUE,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,2,0,0
                         ,JEUX D'ASSEMBLAGE,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LIVRES SUR LES JEUX,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0
                         ,JEUX A REGLES,1,0,0,0,0,1,4,0,0,0,6,0,4,0,3,0,1,0,0,0,1,0,0,1,4,0,2
                         ,JEUX SYMBOLIQUES,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0
                         ,JEUX VIDEO,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
                         ,LANGUES,4,0,2,0,1,0,9,0,0,0,10,5,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0
                         ,LITTERATURE,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,LOISIRS CREATIFS,9,0,0,0,1,0,2,0,5,0,3,2,8,0,1,0,1,0,3,0,11,0,1,3,12,0,2
                         ,MUSIQUE ADULTES,13,0,5,0,6,4,18,0,17,0,10,0,14,0,9,0,1,13,15,0,13,0,8,2,7,0,2
                         ,MUSIQUE JEUNESSE,3,3,3,0,0,3,8,1,2,0,3,8,16,0,0,0,4,3,3,0,5,0,2,3,4,0,9
                         ,PHILOSOPHIE,1,0,0,0,0,1,1,0,2,0,1,0,4,0,1,0,0,1,2,0,10,0,1,1,8,0,0
                         ,PRESSE,54,0,17,0,17,4,55,2,18,0,9,21,15,0,14,0,22,29,30,0,34,0,17,5,24,0,21
                         ,PSYCHOLOGIE,5,0,3,0,1,1,1,0,3,0,1,0,6,0,1,0,3,3,7,0,0,0,5,0,3,0,0
                         ,RELIGIONS,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,2,1,0,2,0,0,2,1,0,0
                         ,ROMANS ADULTES,29,0,24,0,35,24,70,2,18,0,39,24,17,0,36,0,20,12,43,0,22,0,22,16,28,4,16
                         ,ROMANS JEUNESSE,64,1,18,0,28,20,100,1,21,0,34,38,67,0,11,0,33,44,88,0,35,0,17,30,89,1,15
                         ,SCIENCES,17,0,0,0,7,0,19,0,5,0,1,17,8,0,0,0,5,7,15,0,1,0,4,7,7,0,1
                         ,SOCIETE,9,1,5,0,1,1,16,0,5,0,2,6,5,0,1,0,4,0,16,0,2,0,4,1,11,0,3
                         ,SPORTS ET LOISIRS,1,0,12,0,4,0,1,0,2,0,3,0,2,0,0,0,3,3,4,0,6,0,0,2,2,0,0
